date,measles_en,measles_nl
2016-01-03,10162,267
2016-01-10,26317,762
2016-01-17,26634,904
2016-01-24,27818,1027
2016-01-31,26876,2997
2016-02-07,25410,1079
2016-02-14,27163,866
2016-02-21,28890,894
2016-02-28,32112,1051
2016-03-06,27764,942
2016-03-13,29163,986
2016-03-20,27810,995
2016-03-27,26474,802
2016-04-03,28588,856
2016-04-10,27734,867
2016-04-17,29418,1119
2016-04-24,28468,1375
2016-05-01,28470,1455
2016-05-08,25904,779
2016-05-15,29521,962
2016-05-22,28955,1056
2016-05-29,27632,1167
2016-06-05,30460,1076
2016-06-12,25024,816
2016-06-19,22688,780
2016-06-26,25581,800
2016-07-03,23285,659
2016-07-10,23890,651
2016-07-17,21890,562
2016-07-24,20893,539
2016-07-31,20527,518
2016-08-07,21734,538
2016-08-14,21225,548
2016-08-21,21801,488
2016-08-28,22816,476
2016-09-04,24067,543
2016-09-11,28267,944
2016-09-18,25572,643
2016-09-25,28507,683
2016-10-02,30584,768
2016-10-09,25484,728
2016-10-16,25161,656
2016-10-23,25570,914
2016-10-30,25096,1415
2016-11-06,26385,708
2016-11-13,23898,801
2016-11-20,28029,1351
2016-11-27,24316,1308
2016-12-04,24980,967
2016-12-11,25123,743
2016-12-18,23482,690
2016-12-25,19982,787
2017-01-01,22502,624
2017-01-08,28327,757
2017-01-15,29887,945
2017-01-22,28328,790
2017-01-29,31822,777
2017-02-05,31016,894
2017-02-12,36630,1071
2017-02-19,34168,958
2017-02-26,36602,827
2017-03-05,36027,1122
2017-03-12,35370,986
2017-03-19,36254,950
2017-03-26,35196,881
2017-04-02,47841,1682
2017-04-09,42372,1001
2017-04-16,35162,855
2017-04-23,40685,990
2017-04-30,34995,956
2017-05-07,35645,853
2017-05-14,43323,993
2017-05-21,39766,1373
2017-05-28,35983,1569
2017-06-04,31378,2127
2017-06-11,29343,1570
2017-06-18,26838,1093
2017-06-25,24104,1594
2017-07-02,44381,1652
2017-07-09,26781,891
2017-07-16,28158,1357
2017-07-23,26226,901
2017-07-30,24814,878
2017-08-06,25914,786
2017-08-13,24172,609
2017-08-20,23007,570
2017-08-27,24226,586
2017-09-03,21843,531
2017-09-10,23912,659
2017-09-17,26014,666
2017-09-24,31024,995
2017-10-01,27955,732
2017-10-08,29591,716
2017-10-15,27021,662
2017-10-22,27489,721
2017-10-29,26387,618
2017-11-05,23985,591
2017-11-12,24527,696
2017-11-19,24951,627
2017-11-26,25572,701
2017-12-03,25830,617
2017-12-10,25129,667
2017-12-17,22689,696
2017-12-24,19614,592
2017-12-31,20675,697
2018-01-07,24548,691
2018-01-14,28553,833
2018-01-21,37996,887
2018-01-28,28010,934
2018-02-04,27555,923
2018-02-11,27043,867
2018-02-18,30706,1025
2018-02-25,39648,1248
2018-03-04,35260,935
2018-03-11,29176,1044
2018-03-18,36397,1141
2018-03-25,34580,830
2018-04-01,27513,755
2018-04-08,28803,825
2018-04-15,29938,686
2018-04-22,30778,885
2018-04-29,46092,1143
2018-05-06,30900,816
2018-05-13,31885,1688
2018-05-20,26477,1191
2018-05-27,23635,828
2018-06-03,23340,1109
2018-06-10,24315,1033
2018-06-17,23876,1206
2018-06-24,24295,868
2018-07-01,21811,1165
2018-07-08,29414,2671
2018-07-15,25153,1816
2018-07-22,21362,1015
2018-07-29,21820,1021
2018-08-05,19226,818
2018-08-12,20880,1158
2018-08-19,38364,893
2018-08-26,54433,8963
2018-09-02,33477,1595
2018-09-09,27771,897
2018-09-16,27436,874
2018-09-23,23971,829
2018-09-30,21810,833
2018-10-07,22740,731
2018-10-14,24294,833
2018-10-21,29632,711
2018-10-28,36025,1141
2018-11-04,31773,863
2018-11-11,33380,910
2018-11-18,25431,751
2018-11-25,28621,1004
2018-12-02,33487,953
2018-12-09,30100,851
2018-12-16,29655,742
2018-12-23,28578,668
2018-12-30,25312,721
2019-01-06,25387,711
2019-01-13,30883,904
2019-01-20,38104,853
2019-01-27,71410,1081
2019-02-03,115574,1259
2019-02-10,122645,1691
2019-02-17,98466,2142
2019-02-24,81259,3049
2019-03-03,83999,1567
2019-03-10,72878,1942
2019-03-17,59166,1462
2019-03-24,46974,1247
2019-03-31,95363,2317
2019-04-07,70395,7594
2019-04-14,102724,10109
2019-04-21,101840,10242
2019-04-28,126660,5768
2019-05-05,142416,5984
2019-05-12,80267,3438
2019-05-19,63088,3192
2019-05-26,45555,1599
2019-06-02,42588,1334
2019-06-09,31412,1309
2019-06-16,30795,1399
2019-06-23,31972,1320
2019-06-30,29103,3640
2019-07-07,24743,1548
2019-07-14,24435,858
2019-07-21,25118,1251
2019-07-28,27103,983
2019-08-04,16501,822
2019-08-11,15962,717
2019-08-18,25125,1984
2019-08-25,22550,856
2019-09-01,29025,1720
2019-09-08,27103,835
2019-09-15,24031,716
2019-09-22,23407,696
2019-09-29,21836,926
2019-10-06,24511,700
2019-10-13,22758,738
2019-10-20,25219,653
2019-10-27,26709,662
2019-11-03,28994,1587
2019-11-10,24521,1078
2019-11-17,30392,1042
2019-11-24,30696,934
2019-12-01,26265,874
2019-12-08,41112,2475
2019-12-15,31082,1059
2019-12-22,26119,734
2019-12-29,28063,1034
2020-01-05,22723,738
2020-01-12,25986,1066
2020-01-19,23661,939
2020-01-26,32849,1156
2020-02-02,47071,1327
2020-02-09,33942,1078
2020-02-16,29899,1009
2020-02-23,26722,1067
2020-03-01,38398,1424
2020-03-08,42079,1415
2020-03-15,63881,1660
2020-03-22,76187,5357
2020-03-29,61857,2611
2020-04-05,60236,2461
2020-04-12,47359,2312
2020-04-19,45700,2714
2020-04-26,36903,1792
2020-05-03,34842,3127
2020-05-10,32148,3094
2020-05-17,31818,1947
2020-05-24,25347,1424
2020-05-31,24146,1461
2020-06-07,19296,1160
2020-06-14,16818,965
2020-06-21,17074,1071
2020-06-28,16325,964
2020-07-05,17272,863
2020-07-12,19033,722
2020-07-19,17522,768
2020-07-26,16952,815
2020-08-02,16349,677
2020-08-09,15730,582
2020-08-16,17129,903
2020-08-23,15343,732
2020-08-30,15355,726
2020-09-06,15066,692
2020-09-13,15684,776
2020-09-20,16045,731
2020-09-27,16311,814
2020-10-04,15586,747
2020-10-11,16794,823
2020-10-18,17152,847
2020-10-25,19327,856
2020-11-01,18040,885
2020-11-08,16355,802
2020-11-15,25230,1114
2020-11-22,22559,1413
2020-11-29,19577,1177
2020-12-06,21323,1093
2020-12-13,22105,1279
2020-12-20,21294,1211
2020-12-27,20475,1153
2021-01-03,22084,1259
2021-01-10,19612,1369
2021-01-17,19953,1419
2021-01-24,18928,1391
2021-01-31,18805,1126
2021-02-07,19026,1133
2021-02-14,17659,1107
2021-02-21,19304,1111
2021-02-28,19928,1108
2021-03-07,18957,1208
2021-03-14,18707,1391
2021-03-21,18268,1221
2021-03-28,18330,1028
2021-04-04,17798,936
2021-04-11,19365,1000
2021-04-18,19420,957
2021-04-25,18934,849
2021-05-02,19887,903
2021-05-09,18915,885
2021-05-16,18108,863
2021-05-23,18024,831
2021-05-30,19830,967
2021-06-06,17867,1039
2021-06-13,16899,943
2021-06-20,15907,913
2021-06-27,15054,804
2021-07-04,14923,820
2021-07-11,14611,833
2021-07-18,15293,1067
2021-07-25,16235,762
2021-08-01,21920,968
2021-08-08,19698,734
2021-08-15,21278,826
2021-08-22,18289,727
2021-08-29,18475,643
2021-09-05,17577,660
2021-09-12,23887,949
2021-09-19,24009,911
2021-09-26,18150,763
2021-10-03,16827,836
2021-10-10,16491,655
2021-10-17,45848,2123
2021-10-24,44897,2471
2021-10-31,31503,1692
2021-11-07,23104,1407
2021-11-14,23002,1320
2021-11-21,27063,1437
2021-11-28,20774,1426
2021-12-05,20173,1257
2021-12-12,18060,895
2021-12-19,19425,916
2021-12-26,21065,820
2022-01-02,19057,834
2022-01-09,21564,912
2022-01-16,21878,913
2022-01-23,18137,938
2022-01-30,18743,799
2022-02-06,19109,752
2022-02-13,17448,687
2022-02-20,15963,676
2022-02-27,14947,598
2022-03-06,13125,524
2022-03-13,15152,540
2022-03-20,14499,559
2022-03-27,13509,619
2022-04-03,13332,482
2022-04-10,13808,618
2022-04-17,12737,413
2022-04-24,13883,498
2022-05-01,15044,990
2022-05-08,13384,508
2022-05-15,13772,510
2022-05-22,15699,757
2022-05-29,16410,661
2022-06-05,12750,478
2022-06-12,12748,418
2022-06-19,12236,507
2022-06-26,11352,486
2022-07-03,9836,400
2022-07-10,10137,381
2022-07-17,10442,350
2022-07-24,11071,358
2022-07-31,11920,384
2022-08-07,11612,316
2022-08-14,11462,305
2022-08-21,12087,333
2022-08-28,10626,321
2022-09-04,10190,324
2022-09-11,11135,551
2022-09-18,11009,402
2022-09-25,11389,395
2022-10-02,11379,377
2022-10-09,10185,315
2022-10-16,10390,425
2022-10-23,10754,421
2022-10-30,11218,387
2022-11-06,11404,374
2022-11-13,13117,473
2022-11-20,16224,435
2022-11-27,25486,688
2022-12-04,17232,375
2022-12-11,15580,511
2022-12-18,13799,454
2022-12-25,11416,457
2023-01-01,14387,348
2023-01-08,12543,393
2023-01-15,13006,556
2023-01-22,14777,423
2023-01-29,13884,456
2023-02-05,14303,408
2023-02-12,13057,384
2023-02-19,20184,477
2023-02-26,16646,413
2023-03-05,17595,430
2023-03-12,16603,496
2023-03-19,15625,442
2023-03-26,14482,467
2023-04-02,14013,401
2023-04-09,12614,415
2023-04-16,11080,390
2023-04-23,12738,1708
2023-04-30,13811,468
2023-05-07,13849,434
2023-05-14,13207,478
2023-05-21,11911,443
2023-05-28,12256,560
2023-06-04,11746,524
2023-06-11,12216,439
2023-06-18,12901,500
2023-06-25,12818,510
2023-07-02,12019,932
2023-07-09,11248,449
2023-07-16,14238,381
2023-07-23,11951,355
2023-07-30,11572,366
2023-08-06,11278,337
2023-08-13,11372,324
2023-08-20,11438,285
2023-08-27,11809,260
2023-09-03,11015,272
2023-09-10,12182,225
2023-09-17,13118,353
2023-09-24,12763,363
2023-10-01,12330,343
2023-10-08,13503,291
2023-10-15,13180,291
2023-10-22,12673,238
2023-10-29,12614,274
2023-11-05,12914,273
2023-11-12,13221,403
2023-11-19,14377,364
2023-11-26,14910,376
2023-12-03,15385,317
2023-12-10,16346,380
2023-12-17,15015,405
2023-12-24,12946,360
2023-12-31,12187,559
2024-01-07,13927,329
2024-01-14,20166,405
2024-01-21,32489,482
2024-01-28,39485,1468
2024-02-04,29589,627
2024-02-11,29323,453
2024-02-18,27739,1700
2024-02-25,44330,808
2024-03-03,42035,580
2024-03-10,35682,1599
2024-03-17,42601,8292
2024-03-24,36530,4392
2024-03-31,25934,3060
2024-04-07,19021,1833
2024-04-14,18987,1020
2024-04-21,17242,804
2024-04-28,18948,4570
2024-05-05,15753,1575
2024-05-12,13632,694
2024-05-19,16668,668
2024-05-26,14237,688
2024-06-02,13342,597
2024-06-09,12586,801
2024-06-16,11833,755
2024-06-23,10879,1690
2024-06-30,10690,909
2024-07-07,11914,1009
2024-07-14,11343,793
2024-07-21,12765,1163
2024-07-28,13048,650
2024-08-04,11949,496
2024-08-11,11213,526
2024-08-18,12428,644
2024-08-25,12547,472
2024-09-01,12613,444
2024-09-08,12847,501
2024-09-15,11723,526
2024-09-22,11290,400
2024-09-29,12871,414
2024-10-06,15561,402
2024-10-13,14713,435
2024-10-20,17878,459
2024-10-27,14961,437
2024-11-03,15411,440
2024-11-10,16732,416
2024-11-17,20240,486
2024-11-24,14891,458
2024-12-01,12099,447
2024-12-08,11911,455
2024-12-15,13472,374
2024-12-22,12751,572
2024-12-29,11659,397
2025-01-05,11796,494
2025-01-12,13329,861
2025-01-19,12698,850
2025-01-26,13120,1032
2025-02-02,15746,639
2025-02-09,17121,700
2025-02-16,31470,612
2025-02-23,48394,2717
2025-03-02,126869,2103
2025-03-09,82054,1251
2025-03-16,71273,1427
2025-03-23,52871,3385
2025-03-30,44269,6270
2025-04-06,41158,2738
2025-04-13,53860,4749
2025-04-20,33722,1778
2025-04-27,31725,1134
2025-05-04,30088,1357
2025-05-11,26214,1233
2025-05-18,24129,800
2025-05-25,20684,826
2025-06-01,20109,657
2025-06-08,23037,749
2025-06-15,17431,875
2025-06-22,15224,811
2025-06-29,15280,627
2025-07-06,12133,470
2025-07-13,19639,476
2025-07-20,16426,488
2025-07-27,13456,438
2025-08-03,11706,481
2025-08-10,12522,385
2025-08-17,13204,289
2025-08-24,12697,275
2025-08-31,15480,314
2025-09-07,22956,377
2025-09-14,20106,355
2025-09-21,16451,632
2025-09-28,16771,670
2025-10-05,16105,380
2025-10-12,13657,311
2025-10-19,16099,333
2025-10-26,15144,319
2025-11-02,15775,336
2025-11-09,13578,366
2025-11-16,21480,856
2025-11-23,15068,394
2025-11-30,13836,375
2025-12-07,1940,52
