date,value,stderr,sample_size
2020-09-01,0.9831988,0.156453,6838.9231
2020-09-02,1.0086297,0.1400868,8146.9057
2020-09-03,1.0271482,0.1415422,8060.911
2020-09-04,0.9412381,0.1123588,7988.9178
2020-09-05,0.8989332,0.1102643,7759.9307
2020-09-06,0.9589219,0.1172498,7542.9247
2020-09-07,0.8698288,0.101804,7452.9258
2020-09-08,0.9531786,0.1133979,7243.928
2020-09-09,0.8747388,0.1110469,6805.9293
2020-09-10,0.8526311,0.112402,6598.9251
2020-09-11,0.7915692,0.1105374,6467.9243
2020-09-12,0.718022,0.1054844,6521.9217
2020-09-13,0.6834891,0.1026055,6390.9296
2020-09-14,0.5944706,0.0986577,6120.9363
2020-09-15,0.571566,0.0941878,5905.938
2020-09-16,0.5955691,0.0964515,5800.9444
2020-09-17,0.5141809,0.0930976,5643.9508
2020-09-18,0.6014356,0.1063432,5502.9439
2020-09-19,0.7931406,0.1334549,5282.9444
2020-09-20,0.7340483,0.128757,5174.9368
2020-09-21,0.8127405,0.1332823,5072.9269
2020-09-22,0.7737787,0.128884,5023.9212
2020-09-23,0.6922008,0.124454,4913.927
2020-09-24,0.7434408,0.1240322,4877.9294
2020-09-25,0.6362539,0.11144,4861.9372
2020-09-26,0.4927846,0.0837379,4832.945
2020-09-27,0.581669,0.0920839,4861.9479
2020-09-28,0.5805209,0.0966758,4915.9485
2020-09-29,0.6544514,0.1053878,4922.9539
2020-09-30,0.74732,0.1191645,4900.9537
2020-10-01,0.8174022,0.1360216,4906.9543
2020-10-02,0.825861,0.1372971,4959.9478
2020-10-03,0.7888943,0.1349896,4945.9527
2020-10-04,0.7517407,0.1378743,4835.9518
2020-10-05,0.735597,0.1326313,5060.953
2020-10-06,0.7746429,0.1399571,5384.9547
2020-10-07,0.7609601,0.1306387,5816.9446
2020-10-08,0.805697,0.1289678,6095.9358
2020-10-09,0.8154609,0.126629,6299.9439
2020-10-10,0.9156941,0.1364973,6609.9362
2020-10-11,0.9506776,0.1329264,6837.9394
2020-10-12,1.0582052,0.1490271,6833.9374
2020-10-13,1.0436475,0.1589545,6695.9292
2020-10-14,1.0543819,0.1616434,6492.942
2020-10-15,0.8842896,0.1479192,6446.9464
2020-10-16,0.9837074,0.1571287,6313.9496
2020-10-17,0.9316137,0.1513044,6106.9465
2020-10-18,0.9243425,0.1607128,6068.9463
2020-10-19,0.947907,0.185171,5932.9471
2020-10-20,0.9475162,0.1696726,5883.9526
2020-10-21,0.9348127,0.1683866,5927.9463
2020-10-22,1.1306659,0.2173477,5810.9469
2020-10-23,1.1142676,0.2156493,5782.9387
2020-10-24,1.1016183,0.2145892,5777.9401
2020-10-25,1.0606054,0.2082144,5710.9392
2020-10-26,0.9384101,0.1784186,5610.9451
2020-10-27,0.8022068,0.1734345,5388.9463
2020-10-28,0.8018738,0.1847771,5024.947
2020-10-29,0.686022,0.142537,4634.9544
2020-10-30,0.5562621,0.1352096,4257.9621
2020-10-31,0.6274749,0.1449273,4187.9609
2020-11-01,0.6590542,0.1437274,4138.968
2020-11-02,0.6112326,0.1376413,4196.9699
2020-11-03,0.7755089,0.1819126,4174.9643
2020-11-04,0.8894751,0.1927228,3951.9706
2020-11-05,0.9885739,0.1949372,3921.9667
2020-11-06,1.1710739,0.2026886,4102.9633
2020-11-07,1.1267036,0.2025618,3723.9686
2020-11-08,1.0940795,0.2095509,3351.968
2020-11-09,1.1145854,0.2113492,3165.9647
2020-11-10,1.0216469,0.182653,3474.9672
2020-11-11,0.9038774,0.1586775,3998.949
2020-11-12,0.766978,0.1383736,4382.9495
2020-11-13,0.7433983,0.1476294,4503.9536
2020-11-14,0.8635224,0.149367,4967.9423
2020-11-15,1.0310241,0.150696,5465.9346
2020-11-16,1.0894088,0.1593136,5752.9309
2020-11-17,1.2031621,0.1648976,5740.9317
2020-11-18,1.307388,0.1725545,5805.939
2020-11-19,1.294868,0.1716388,5950.922
2020-11-20,1.248395,0.1584355,6214.9107
2020-11-21,1.2148448,0.1581709,6386.9097
2020-11-22,1.0848226,0.1478557,6577.9147
2020-11-23,1.1169486,0.1457503,6620.9101
2020-11-24,1.012767,0.1303578,6663.9034
2020-11-25,1.0221583,0.1271865,6661.8981
2020-11-26,1.0922808,0.1383383,6657.909
2020-11-27,1.035659,0.1319302,6658.9042
2020-11-28,1.0143513,0.1285621,6752.9047
2020-11-29,1.0600051,0.1296059,6779.9025
2020-11-30,1.1331399,0.1295402,6876.8993
2020-12-01,1.1513561,0.1311632,7035.893
2020-12-02,1.1099087,0.1272562,7235.8951
2020-12-03,1.1412418,0.1205817,7382.8967
2020-12-04,1.3034833,0.1332845,7400.9014
2020-12-05,1.4236526,0.1393569,7343.9074
2020-12-06,1.3724734,0.138752,7267.8947
2020-12-07,1.3872288,0.1406621,7249.8999
2020-12-08,1.4280684,0.1449619,7029.9108
2020-12-09,1.4515926,0.1475638,6819.9181
2020-12-10,1.42428,0.1496755,6607.9202
2020-12-11,1.3188026,0.1437957,6485.9139
2020-12-12,1.2646137,0.1454311,6301.9172
2020-12-13,1.3932528,0.1524001,6199.9255
2020-12-14,1.4360275,0.1535992,6432.9245
2020-12-15,1.5096984,0.1566844,6637.9153
2020-12-16,1.486567,0.1560167,6691.9134
2020-12-17,1.5355493,0.1594064,6719.9054
2020-12-18,1.4854091,0.1553447,6762.9029
2020-12-19,1.4641346,0.153812,6920.8898
2020-12-20,1.4450438,0.1627623,7036.8942
2020-12-21,1.2723858,0.153806,6766.8999
2020-12-22,1.1330263,0.1448436,6577.9051
2020-12-23,1.1523743,0.1429493,6557.9091
2020-12-24,1.2241769,0.1449151,6579.914
2020-12-25,1.3793384,0.1526738,6527.9285
2020-12-26,1.4758766,0.1607327,6538.9411
2020-12-27,1.3380686,0.1434565,6608.937
2020-12-28,1.5120938,0.1583396,6774.939
2020-12-29,1.6466993,0.1630487,7044.9384
2020-12-30,1.7515576,0.1698214,7307.9354
2020-12-31,1.817988,0.1669938,7602.9137
2021-01-01,1.9618834,0.1734096,7965.909
2021-01-02,1.9571776,0.1686671,8243.9097
2021-01-03,2.1789732,0.1759231,8455.9087
2021-01-04,2.2123842,0.1748066,8543.8929
2021-01-05,2.1889144,0.1743898,8421.8975
2021-01-06,2.1943315,0.1828663,8398.8801
2021-01-07,2.0762,0.1790934,8313.9013
2021-01-08,2.0183501,0.1802951,8234.9051
2021-01-09,1.9598284,0.172902,8197.8973
2021-01-10,1.8881763,0.1697507,8146.9023
2021-01-11,1.850308,0.1622324,8115.9078
2021-01-12,1.8836479,0.1628642,8245.907
2021-01-13,1.8299732,0.1451175,8319.9247
2021-01-14,1.8165499,0.144673,8329.9231
2021-01-15,1.7473722,0.1363146,8368.9189
2021-01-16,1.6797747,0.1344127,8320.9291
2021-01-17,1.7398543,0.1383609,8263.9183
2021-01-18,1.7608257,0.1443303,8344.9216
2021-01-19,1.9280143,0.1760351,8402.9197
2021-01-20,1.9451348,0.183439,8200.9034
2021-01-21,1.9925382,0.1886761,8268.9079
2021-01-22,2.0844051,0.1964221,8256.9032
2021-01-23,2.0730257,0.1996322,8288.9019
2021-01-24,2.0074406,0.1963926,8310.8964
2021-01-25,1.8901091,0.1897546,8221.8937
2021-01-26,1.624257,0.1568264,8202.8866
2021-01-27,1.5468844,0.1482317,8358.8955
2021-01-28,1.5756397,0.1483623,8317.887
2021-01-29,1.3494256,0.1279797,8283.8901
2021-01-30,1.4508153,0.131772,8092.8869
2021-01-31,1.4142647,0.1337358,8033.8958
2021-02-01,1.5217322,0.1514995,7674.9076
2021-02-02,1.506862,0.1552085,7257.9235
2021-02-03,1.4384852,0.1514242,7354.9244
2021-02-04,1.3467697,0.1465312,7311.9256
2021-02-05,1.4685833,0.1586056,7241.9204
2021-02-06,1.4908189,0.1593907,7267.9224
2021-02-07,1.421878,0.1567894,7133.9238
2021-02-08,1.2520841,0.1385337,7306.925
2021-02-09,1.2092297,0.1327597,7477.9192
2021-02-10,1.1894736,0.1379507,7137.9185
2021-02-11,1.1473052,0.138183,6946.9295
